,month,year,rain_inches
0,1,2000,2.6119
1,1,2001,2.94
2,1,2002,1.69
3,1,2003,2.3000000000000003
4,1,2004,2.1
5,1,2005,4.59
6,1,2006,4.96
7,1,2007,3.69
8,1,2008,2.85
9,1,2009,18.84
10,1,2010,2.0428
11,1,2011,4.6326
12,1,2012,3.213
13,1,2013,2.7315
14,1,2014,3.1922
15,1,2015,0.08
16,1,2016,4.42
17,1,2017,4.84
18,1,2018,1.9727000000000001
19,1,2019,3.612
20,1,2020,1.9246
21,1,2021,2.3018
22,2,2000,1.5018
23,2,2001,1.9100000000000001
24,2,2002,0.71
25,2,2003,4.53
26,2,2004,2.68
27,2,2005,2.96
28,2,2006,2.89
29,2,2007,1.99
30,2,2008,5.95
31,2,2009,0.87
32,2,2010,6.3422
33,2,2011,3.351
34,2,2012,1.3528
35,2,2013,4.2426
36,2,2014,5.4319999999999995
37,2,2015,2.04
38,2,2016,4.41
39,2,2017,2.4
40,2,2018,5.7525
41,2,2019,3.1424
42,2,2020,2.5457
43,2,2021,5.1534
44,3,2000,2.8613
45,3,2001,6.87
46,3,2002,3.5100000000000002
47,3,2003,4.44
48,3,2004,2.99
49,3,2005,4.46
50,3,2006,0.8
51,3,2007,5.33
52,3,2008,4.08
53,3,2009,1.75
54,3,2010,10.6322
55,3,2011,6.1822
56,3,2012,0.9012
57,3,2013,2.8529
58,3,2014,3.6716
59,3,2015,4.72
60,3,2016,1.18
61,3,2017,5.25
62,3,2018,5.1733
63,3,2019,3.8728000000000002
64,3,2020,3.6643
65,3,2021,3.4925
66,4,2000,3.5318
67,4,2001,1.57
68,4,2002,3.02
69,4,2003,3.25
70,4,2004,4.16
71,4,2005,4.67
72,4,2006,5.5600000000000005
73,4,2007,13.05
74,4,2008,2.64
75,4,2009,4.69
76,4,2010,2.9912
77,4,2011,5.1129
78,4,2012,3.5117000000000003
79,4,2013,1.3114
80,4,2014,7.5419
81,4,2015,2.09
82,4,2016,1.76
83,4,2017,3.57
84,4,2018,5.7838
85,4,2019,4.5357
86,4,2020,4.4959
87,4,2021,2.7044
88,5,2000,4.5017
89,5,2001,2.0300000000000002
90,5,2002,3.68
91,5,2003,3.65
92,5,2004,5.63
93,5,2005,1.57
94,5,2006,4.62
95,5,2007,1.8800000000000001
96,5,2008,4.01
97,5,2009,5.17
98,5,2010,2.9915
99,5,2011,4.901
100,5,2012,5.2126
101,5,2013,8.033
102,5,2014,4.7723
103,5,2015,1.86
104,5,2016,3.5
105,5,2017,6.38
106,5,2018,3.5249
107,5,2019,6.9144
108,5,2020,1.7637
109,5,2021,4.1232
110,6,2000,4.771
111,6,2001,5.12
112,6,2002,4.47
113,6,2003,9.99
114,6,2004,3.02
115,6,2005,3.1
116,6,2006,8.23
117,6,2007,6.54
118,6,2008,4.55
119,6,2009,9.88
120,6,2010,2.2012
121,6,2011,3.2113
122,6,2012,2.972
123,6,2013,10.1321
124,6,2014,4.2617
125,6,2015,4.64
126,6,2016,2.6
127,6,2017,4.76
128,6,2018,3.1548
129,6,2019,5.6270999999999995
130,6,2020,1.6632
131,6,2021,2.7325
132,7,2000,6.7012
133,7,2001,2.04
134,7,2002,1.06
135,7,2003,3.66
136,7,2004,7.63
137,7,2005,1.98
138,7,2006,6.16
139,7,2007,5.890000000000001
140,7,2008,2.8400000000000003
141,7,2009,7.11
142,7,2010,2.9314
143,7,2011,3.0614
144,7,2012,4.1817
145,7,2013,2.9125
146,7,2014,5.6108
147,7,2015,4.04
148,7,2016,6.97
149,7,2017,4.19
150,7,2018,7.4536
151,7,2019,5.893199999999999
152,7,2020,6.223
153,7,2021,10.9638
154,8,2000,3.7916000000000003
155,8,2001,2.55
156,8,2002,4.88
157,8,2003,5.84
158,8,2004,3.04
159,8,2005,3.9499999999999997
160,8,2006,6.08
161,8,2007,7.2
162,8,2008,5.58
163,8,2009,4.22
164,8,2010,4.1727
165,8,2011,19.0826
166,8,2012,2.9408
167,8,2013,2.8521
168,8,2014,2.2511
169,8,2015,2.46
170,8,2016,2.02
171,8,2017,3.3507
172,8,2018,8.5353
173,8,2019,3.7332
174,8,2020,5.0332
175,8,2021,10.3437
176,9,2000,5.6014
177,9,2001,5.3
178,9,2002,5.16
179,9,2003,5.88
180,9,2004,11.51
181,9,2005,0.48
182,9,2006,3.69
183,9,2007,1.81
184,9,2008,7.05
185,9,2009,2.2600000000000002
186,9,2010,3.6812
187,9,2011,9.3824
188,9,2012,4.2821
189,9,2013,2.9509000000000003
190,9,2014,1.2509000000000001
191,9,2015,3.27
192,9,2016,2.8
193,9,2017,2.0015
194,9,2018,6.1761
195,9,2019,0.9524
196,9,2020,3.9425
197,9,2021,10.0129
198,10,2000,0.6405
199,10,2001,0.66
200,10,2002,7.09
201,10,2003,5.04
202,10,2004,1.19
203,10,2005,16.72
204,10,2006,7.08
205,10,2007,4.65
206,10,2008,3.62
207,10,2009,5.58
208,10,2010,4.9829
209,10,2011,5.8328
210,10,2012,2.9225
211,10,2013,0.3612
212,10,2014,5.7617
213,10,2015,3.93
214,10,2016,4.0200000000000005
215,10,2017,4.1709
216,10,2018,2.9633000000000003
217,10,2019,5.4748
218,10,2020,4.9941
219,10,2021,5.2625
220,11,2000,3.3005
221,11,2001,1.36
222,11,2002,5.0600000000000005
223,11,2003,4.2700000000000005
224,11,2004,4.03
225,11,2005,4.47
226,11,2006,7.22
227,11,2007,3.47
228,11,2008,3.5300000000000002
229,11,2009,1.61
230,11,2010,2.1614
231,11,2011,3.0525
232,11,2012,1.8105
233,11,2013,3.1619
234,11,2014,4.4515
235,11,2015,1.99
236,11,2016,5.31
237,11,2017,1.5612
238,11,2018,7.6244000000000005
239,11,2019,1.9516
240,11,2020,4.0123
241,11,2021,1.1429
242,12,2000,3.193
243,12,2001,2.17
244,12,2002,3.3
245,12,2003,4.63
246,12,2004,3.65
247,12,2005,4.6000000000000005
248,12,2006,2.15
249,12,2007,5.22
250,12,2008,7.04
251,12,2009,7.53
252,12,2010,4.5411
253,12,2011,3.9312
254,12,2012,4.7443
255,12,2013,4.8527000000000005
256,12,2014,5.9928
257,12,2015,4.74
258,12,2016,2.87
259,12,2017,2.2123
260,12,2018,6.4837
261,12,2019,7.0448
262,12,2020,4.5831
263,12,2021,1.4051
